Number of consecutive occurrences	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
Bin:0.0-1000.0	8293	2718	1234	750	364	207	127	73	51	31	20	18	11	4	7	7	2	2
Bin:1000.0-2000.0	2190	22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bin:2000.0-3000.0	1418	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:3000.0-4000.0	1014	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bin:4000.0-5000.0	846	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bin:5000.0-6000.0	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:6000.0-7000.0	627	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:7000.0-8000.0	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:8000.0-9000.0	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:9000.0-10000.0	478	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
