Number of consecutive occurrences	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
Bin:0.0-1000.0	12634	3481	1262	453	177	71	47	12	11	7	1	1	0	0	0	0	1
Bin:1000.0-2000.0	1209	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:2000.0-3000.0	920	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bin:3000.0-4000.0	753	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:4000.0-5000.0	639	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:5000.0-6000.0	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:6000.0-7000.0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:7000.0-8000.0	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:8000.0-9000.0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:9000.0-10000.0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
