Number of consecutive occurrences	1	2	3	4	5	6	7	8	9	10	11	12	13
Bin:0.0-10.0	6024	937	284	119	60	25	12	11	7	2	2	4	3
Bin:10.0-20.0	2680	29	0	0	0	0	0	0	0	0	0	0	0
Bin:20.0-30.0	1695	13	0	0	0	0	0	0	0	0	0	0	0
Bin:30.0-40.0	1215	1	0	0	0	0	0	0	0	0	0	0	0
Bin:40.0-50.0	913	0	0	0	0	0	0	0	0	0	0	0	0
Bin:50.0-60.0	683	1	0	0	0	0	0	0	0	0	0	0	0
Bin:60.0-70.0	512	0	0	0	0	0	0	0	0	0	0	0	0
Bin:70.0-80.0	434	0	0	0	0	0	0	0	0	0	0	0	0
Bin:80.0-90.0	353	1	0	0	0	0	0	0	0	0	0	0	0
Bin:90.0-100.0	329	0	0	0	0	0	0	0	0	0	0	0	0
