Number of consecutive occurrences	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Bin:0.0-10.0	15050	2165	400	75	25	6	2	4	3	0	0	0	0	0	0	1
Bin:10.0-20.0	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:20.0-30.0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:30.0-40.0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:40.0-50.0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:50.0-60.0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:60.0-70.0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:70.0-80.0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:80.0-90.0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:90.0-100.0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
