Number of consecutive occurrences	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Bin:0.0-10.0	5876	910	345	128	58	23	18	6	8	4	2	2	0	1	1	0	1	0	0	0	1
Bin:10.0-20.0	2758	38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:20.0-30.0	1787	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:30.0-40.0	1157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:40.0-50.0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:50.0-60.0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:60.0-70.0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:70.0-80.0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:80.0-90.0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin:90.0-100.0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
